instance_id,course_code,course_name,ects_credits,provider,start_date,end_date,instructor_name,instructor_email,location,description,enrollment
31,TUC-INFO-104-2AFA71,Human Computer Interaction,9,TU Chemnitz,2025-05-27,2025-09-27,Dr. Sarah Ivanov,sarah.ivanov@tu-chemnitz.de,Lecture Hall A,"Human Computer Interaction is an undergraduate course exploring foundational topics, modern techniques and case studies.",134
32,TUC-PHIL-104-6028B0,Distributed Systems,3,TU Chemnitz,2024-02-25,2024-05-25,Dr. Pablo Krüger,pablo.krueger@tu-chemnitz.de,Room 4.21,"This course introduces students to the core concepts of distributed systems through lectures, exercises and a final project.",218
33,TUC-ECON-105-4B70D4,Software Engineering Advanced 105,60,TU Chemnitz,2023-02-19,2023-08-19,Prof. Dr. Marco Martín,marco.martin@tu-chemnitz.de,Lecture Hall B,"An advanced module covering theory and practice in software engineering advanced 105, with emphasis on real-world applications.",180
34,TUC-MUSIC-114-50B031,24081,10,TU Chemnitz,2023-02-08,2023-06-08,Dr. Michael Becker,michael.becker@tu-chemnitz.de,Reichenhainer Str. 70,"An advanced module covering theory and practice in ancient civilizations seminar 114, with emphasis on real-world applications.",229
35,TUC-PHYS-115-6CAAC1,Materials Science Seminar 115,12,TU Chemnitz,2025-05-11,2025-08-11,Dr. Jonas Mancini,jonas.mancini@tu-chemnitz.de,Campus Montilivi Block A,"Materials Science Seminar 115 is an undergraduate course exploring foundational topics, modern techniques and case studies.",198
36,tuc-music-108-8F483E,Thermodynamics Lab 108,12,TU Chemnitz,2023-01-04,2023-06-04,Prof. Dr. Julia Krause,julia.krause@tu-chemnitz.de,Sala Riunioni,"Graduate-level seminar on thermodynamics lab 108. Students will read papers, complete assignments and present a project.",191
37,tucphys117-F9651C,International Law Advanced 117,10,TU Chemnitz,2025-11-06,2026-05-06,Dr. Marco Schmitz,,Sala Multimedia,"An advanced module covering theory and practice in international law advanced 117, with emphasis on real-world applications.",190
38,TUC-LAW-106-71365C,Educational Psychology Lab 106,9,TU Chemnitz,2024-01-25,2024-05-25,Dr. Katharina García,katharina.garcia@tu-chemnitz.de,Chemistry Lab B,"This course introduces students to the core concepts of educational psychology lab 106 through lectures, exercises and a final project.",46
39,TUC-PHIL-101-32975B,Cybersecurity Fundamentals,6,TU Chemnitz,2023-07-01,2023-11-01,Dr. Mei Costa,mei.costa@tu-chemnitz.de,Lecture Hall C,"Graduate-level seminar on cybersecurity fundamentals. Students will read papers, complete assignments and present a project.",55
40,TUC-BIO-104-A35510,Functional Programming,10,TU Chemnitz,2025-11-19,2026-04-19,Prof. Dr. Lorenzo Bruno,lorenzo.bruno@tu-chemnitz.de,Seminar Room 101,Foundational survey of functional programming. Prerequisites include basic math and programming proficiency.,218
41,TUC-BIO-106-26C8D0,Macroeconomics,5,TU Chemnitz,2023-05-28,2023-08-28,Dr. Carlos Weber,carlos.weber@tu-chemnitz.de,Building C - 305,Foundational survey of macroeconomics. Prerequisites include basic math and programming proficiency.,111
42,TUC-PHIL-106-0EC8F2,DevOps Engineering Seminar 106,6,TU Chemnitz,2024-03-15,2024-08-15,Dr. Matteo Petrov,matteo.petrov@tu-chemnitz.de,Lecture Hall B,"An advanced module covering theory and practice in devops engineering seminar 106, with emphasis on real-world applications.",238
43,TUC-MED-100-AF3022,Public Health,12,TU Chemnitz,2023-07-06,2023-12-06,Dr. Carmen Schmid,carmen.schmid@tu-chemnitz.de,Room 4.21,"This course introduces students to the core concepts of public health through lectures, exercises and a final project.",40
44,TUC-ECE-108-A81B44,Robotics Basics Lab 108,3,TU Chemnitz,2025-04-02,2025-08-02,Prof. Dr. Jonas Jiménez,jonas.jimenez@tu-chemnitz.de,Reichenhainer Str. 70,Foundational survey of robotics basics lab 108. Prerequisites include basic math and programming proficiency.,
45,TUC-BIO-103-5BC483,Behavioral Economics,3,TU Chemnitz,2025-12-22,2026-06-22,Prof. Dr. Catherine Rodríguez,catherine.rodriguez@tu-chemnitz.de,Seminar Room 101,"Graduate-level seminar on behavioral economics. Students will read papers, complete assignments and present a project.",152
46,TUC-ART-105-545EDA,Embedded Systems Lab 105,6,TU Chemnitz,2024-01-03,2024-01-03,Prof. Dr. Ralf De Luca,ralf.de luca@tu-chemnitz.de,Aula Magna Udine,Foundational survey of embedded systems lab 105. Prerequisites include basic math and programming proficiency.,147
47,TUC-PHYS-118-F5E74E,Power Electronics Seminar 118,3,TU Chemnitz,2024-07-17,2027-01-17,Prof. Dr. Fatima Galli,fatima.galli@tu-chemnitz.de,Sala Multimedia,"An advanced module covering theory and practice in power electronics seminar 118, with emphasis on real-world applications.",233
48,TUC-ME-107-6F46B2,Cloud Computing Seminar 107,3,TU Chemnitz,,,Prof. Dr. Ahmed Greco,ahmed.greco@tu-chemnitz.de,Aula Disegno,"This course introduces students to the core concepts of cloud computing seminar 107 through lectures, exercises and a final project.",161
49,TUC-INFO-111-9C7A08,Cell Biology Workshop 111,8,TU Chemnitz,2023-08-10,2024-02-10,Prof. Dr. Stefan Richter,,Lecture Hall C,"Cell Biology Workshop 111 is an undergraduate course exploring foundational topics, modern techniques and case studies.",190
50,TUC-BUS-100-D3858E,Curriculum Design,3,TU Chemnitz,2023-09-04,2024-02-04,Prof. Dr. Robert Schmitt,robert.schmitt@tu-chemnitz.de,Polo Umanistico B,"An advanced module covering theory and practice in curriculum design, with emphasis on real-world applications.",97
51,TUC-CHEM-107-D9231D,Signal Processing Lab 107,4,TU Chemnitz,2024-08-02,2025-01-02,Prof. Dr. Bernd Jiménez,bernd.jimenez@tu-chemnitz.de,Sala Riunioni,"This course introduces students to the core concepts of signal processing lab 107 through lectures, exercises and a final project.",108
52,TUC-STAT-111-A4378C,Algorithms Design Advanced 111,9,TU Chemnitz,2025-01-08,2025-06-08,Prof. Dr. Lucia Hernández,,Science Center - Room 401,"Graduate-level seminar on algorithms design advanced 111. Students will read papers, complete assignments and present a project.",
53,TUC-INFO-100-115C44,Speech Recognition,4,TU Chemnitz,2024-10-09,2025-01-09,Prof. Dr. Hiroshi Novak,hiroshi.novak@tu-chemnitz.de,Chemistry Lab B,"Graduate-level seminar on speech recognition. Students will read papers, complete assignments and present a project.",90
54,TUC-MED-111-C203D2,Evolutionary Biology Lab 111,7,TU Chemnitz,2025-12-27,2026-05-27,Dr. Catherine Martín,catherine.martin@tu-chemnitz.de,Building C - 305,Foundational survey of evolutionary biology lab 111. Prerequisites include basic math and programming proficiency.,112
55,TUC-ENV-109-F035C3,Multi-Agent Systems Workshop 109,5,TU Chemnitz,2023-11-19,2024-03-19,Al,pablo.hernandez@tu-chemnitz.de,Room 1.42,"Multi-Agent Systems Workshop 109 is an undergraduate course exploring foundational topics, modern techniques and case studies.",201
56,TUC-INFO-109-5AE359,Ecology Advanced 109,3,TU Chemnitz,2024-12-23,2025-06-23,Prof. Dr. Christina Schulz,christina.schulz@tu-chemnitz.de,,"This course introduces students to the core concepts of ecology advanced 109 through lectures, exercises and a final project.",180
57,TUC-ENV-113-C8CE81,Topology,4,TU Chemnitz,2023-04-20,2023-09-20,Dr. Fatima Rizzo,fatima.rizzo@tu-chemnitz.de,Computer Lab 3,"Topology is an undergraduate course exploring foundational topics, modern techniques and case studies.",153
58,TUC-EDU-103-B4ABC5,Ethnomusicology Lab 103,6,TU Chemnitz,2024-08-03,2024-11-03,Prof. Dr. Emma Ruiz,emma.ruiz@tu-chemnitz.de,Building C - 305,"Graduate-level seminar on ethnomusicology lab 103. Students will read papers, complete assignments and present a project.",170
59,TUC-INFO-103-28635F,Optics,8,TU Chemnitz,2024-06-22,2024-09-22,Prof. Dr. Catherine Braun,catherine.braun@tu-chemnitz.de,Aula Disegno,"Graduate-level seminar on optics. Students will read papers, complete assignments and present a project.",223
60,TUC-ENV-105-8126CB,Evolutionary Biology Seminar 105,3,TU Chemnitz,2023-02-23,2023-08-23,Prof. Dr. Maria Bruno,maria.bruno@tu-chemnitz.de,Sala Riunioni,"An advanced module covering theory and practice in evolutionary biology seminar 105, with emphasis on real-world applications.",94
61,TUC-ARCH-105-8ADCA3,Microbiology Workshop 105,4,TU Chemnitz,2023-09-21,2024-01-21,Prof. Dr. John Schröder,john.schroeder@tu-chemnitz.de,Workshop Lab 12,"This course introduces students to the core concepts of microbiology workshop 105 through lectures, exercises and a final project.",54
62,TUC-SOC-100-144D46,Renewable Resources,9,TU Chemnitz,2024-07-18,2024-10-18,Prof. Dr. Andreas Greco,andreas.greco@tu-chemnitz.de,Sala Multimedia,Foundational survey of renewable resources. Prerequisites include basic math and programming proficiency.,128
63,TUC-GEO-100-17C34B,Art History,12,TU Chemnitz,2025-05-24,2025-11-24,Prof. Dr. Stefan Sánchez,stefan.sanchez@tu-chemnitz.de,Room 4.21,"An advanced module covering theory and practice in art history, with emphasis on real-world applications.",208
64,TUC-SOC-103-FFCCBF,European Politics,10,TU Chemnitz,2025-04-21,2025-07-21,Dr. Petra Kowalski,petra.kowalski@tu-chemnitz.de,Room 3.08,"European Politics is an undergraduate course exploring foundational topics, modern techniques and case studies.",50
65,TUC-LAW-101-DC0E2D,Probability Theory,6,TU Chemnitz,2024-04-07,2024-10-07,Dr. Marco Conti,marco.conti@tu-chemnitz.de,Straße der Nationen 62,"An advanced module covering theory and practice in probability theory, with emphasis on real-world applications.",183
66,TUC-BIO-108-8AC3CB,Web Technologies Lab 108,10,TU Chemnitz,2024-06-18,2024-11-18,Prof. Dr. Wei Schwarz,wei.schwarz@tu-chemnitz.de,Room 3.08,Foundational survey of web technologies lab 108. Prerequisites include basic math and programming proficiency.,25
67,TUC-HIST-104-0A1CCA,Thermodynamics Lab 104,12,TU Chemnitz,2023-11-25,2024-03-25,Prof. Dr. Anna Braun,anna.braun@tu-chemnitz.de,Auditorium Maximum,"Graduate-level seminar on thermodynamics lab 104. Students will read papers, complete assignments and present a project.",208
68,TUC-MUSIC-110-7F2934,Bayesian Statistics Advanced 110,6,TU Chemnitz,2026-10-01,2032-07-20,Dr. Catherine Schulz,catherine.schulz@tu-chemnitz.de,Online (BBB),"Graduate-level seminar on bayesian statistics advanced 110. Students will read papers, complete assignments and present a project.",226
69,TUC-GEO-101-4800ED,Control Systems,12,TU Chemnitz,2023-05-10,2023-09-10,Prof. Dr. Yuki Giordano,yuki.giordano@tu-chemnitz.de,Room 4.21,"Control Systems is an undergraduate course exploring foundational topics, modern techniques and case studies.",246
70,TUC-CS-108-C5DB33,Parallel Programming Lab 108,15,TU Chemnitz,2023-03-19,2023-07-19,Prof. Dr. Ana Ruiz,ana.ruiz@tu-chemnitz.de,Seminar Room 205,"Parallel Programming Lab 108 is an undergraduate course exploring foundational topics, modern techniques and case studies.",192
71,TUC-PSY-108-DC2612,Econometrics Lab 108,50,TU Chemnitz,1998-04-10,1998-04-10,Prof. Dr. Javier Lange,javier.lange@tu-chemnitz.de,Building C - 305,"Graduate-level seminar on econometrics lab 108. Students will read papers, complete assignments and present a project.",28
72,TUC-ECE-109-8D5C8A,Information Theory Lab 109,3,TU Chemnitz,2023-02-02,2023-06-02,Prof. Dr. Ute Krause,,Straße der Nationen 62,"Graduate-level seminar on information theory lab 109. Students will read papers, complete assignments and present a project.",249
73,TUC-ARCH-100-F9A8AA,Modern History,6,TU Chemnitz,2024-02-08,2024-06-08,Prof. Dr. Sophia Giordano,sophia.giordano@tu-chemnitz.de,Room 1.42,Foundational survey of modern history. Prerequisites include basic math and programming proficiency.,71
74,TUC-ENG-110-7D9435,Web Technologies Seminar 110,5,TU Chemnitz,2023-06-12,2023-11-12,X,robert.krause@tu-chemnitz.de,Aula 4.02,"This course introduces students to the core concepts of web technologies seminar 110 through lectures, exercises and a final project.",50
75,TUC-ME-100-994344,Plasma Physics,9,TU Chemnitz,2023-05-15,2023-09-15,Prof. Dr. Wei Kowalski,wei.kowalski@tu-chemnitz.de,Computer Lab 3,"Graduate-level seminar on plasma physics. Students will read papers, complete assignments and present a project.",141
76,TUC-MATH-103-446A5D,DevOps Engineering,6,TU Chemnitz,2024-12-05,2025-03-05,Dr. Katharina Mancini,katharina.mancini@tu-chemnitz.de,Aula 1B,"An advanced module covering theory and practice in devops engineering, with emphasis on real-world applications.",216
77,TUC-MUSIC-116-ABB4BE,Computer Graphics Seminar 116,9,TU Chemnitz,2025-10-06,2026-02-06,Dr. Lena López,lena.lopez@tu-chemnitz.de,,Foundational survey of computer graphics seminar 116. Prerequisites include basic math and programming proficiency.,240
78,TUC-PHYS-109-5D8A88,Augmented Reality,4,TU Chemnitz,2023-07-14,2024-01-14,Prof. Dr. Elena Braun,elena.braun@tu-chemnitz.de,Building D - 110,"Augmented Reality is an undergraduate course exploring foundational topics, modern techniques and case studies.",54
79,TUC-INFO-108-402D49,Calculus II Lab 108,12,TU Chemnitz,2023-05-14,,Prof. Dr. Felix Schwarz,felix.schwarz@tu-chemnitz.de,Polo Scientifico A,"Calculus II Lab 108 is an undergraduate course exploring foundational topics, modern techniques and case studies.",148
80,TUC-GEO-104X-518ABC,European Politics Seminar 104,5,TU Chemnitz,2023-08-04,2023-12-04,Prof. Dr. Felix Schmidt,felix.schmidt@tu-chemnitz.de,Aula Magna,"An advanced module covering theory and practice in european politics seminar 104, with emphasis on real-world applications.",225
81,TUC-LAW-110-F4F602,Computer Graphics Seminar 110,8,TU Chemnitz,2025-06-25,2025-11-25,Prof. Dr. Lorenzo Kowalski,lorenzo.kowalski@tu-chemnitz.de,Sala Riunioni,"Computer Graphics Seminar 110 is an undergraduate course exploring foundational topics, modern techniques and case studies.",107
82,TUC-ECON-104-665240,Public Finance Advanced 104,8,TU Chemnitz,,,Prof. Dr. Giulia Mancini,giulia.mancini@tu-chemnitz.de,Computer Lab 3,"This course introduces students to the core concepts of public finance advanced 104 through lectures, exercises and a final project.",150
83,TUC-CS-105-150125,Quantum Mechanics Advanced 105,5,TU Chemnitz,2025-11-11,2026-03-11,Prof. Dr. Hannah Weber,hannah.weber@tu-chemnitz.de,Room 1.42,"Graduate-level seminar on quantum mechanics advanced 105. Students will read papers, complete assignments and present a project.",129
84,TUC-DATA-109-FAB127,Quantum Mechanics Seminar 109,10,TU Chemnitz,2025-01-21,2025-07-21,nan,katharina.bianchi@tu-chemnitz.de,Straße der Nationen 62,"Graduate-level seminar on quantum mechanics seminar 109. Students will read papers, complete assignments and present a project.",164
85,TUC-CHEM-103-7ADEB3,Bayesian Statistics,10,TU Chemnitz,2024-10-24,2025-03-24,Prof. Dr. Pablo Wolf,pablo.wolf@tu-chemnitz.de,Aula 1B,"Bayesian Statistics is an undergraduate course exploring foundational topics, modern techniques and case studies.",143
86,TUC-DATA-103-BACD25,Medieval Europe,5,TU Chemnitz,2025-01-10,2025-06-10,Prof. Dr. Marco Richter,marco.richter@tu-chemnitz.de,Lecture Hall C,"An advanced module covering theory and practice in medieval europe, with emphasis on real-world applications.",72
87,TUC-ECE-100-305211,Genetics,10,TU Chemnitz,2023-06-07,2023-10-07,Prof. Dr. Ahmed Richter,ahmed.richter@tu-chemnitz.de,Building C - 305,Foundational survey of genetics. Prerequisites include basic math and programming proficiency.,206
88,TUC-ECE-111-B40CE1,Network Theory,9,TU Chemnitz,2024-04-20,2024-08-20,Dr. John Bianchi,john.bianchi@tu-chemnitz.de,Building D - 110,"Graduate-level seminar on network theory. Students will read papers, complete assignments and present a project.",90
89,tucme106-5F6783,Data Mining Advanced 106,4,TU Chemnitz,2025-11-21,2026-04-21,Prof. Dr. Pablo Schmidt,,Lecture Hall C,"An advanced module covering theory and practice in data mining advanced 106, with emphasis on real-world applications.",80
90,TUC_PHIL_108-8BBC56,Medieval Europe Workshop 108,5,TU Chemnitz,2025-12-12,2026-03-12,Dr. Yuki García,yuki.garcia@tu-chemnitz.de,Polo Umanistico B,Foundational survey of medieval europe workshop 108. Prerequisites include basic math and programming proficiency.,63
91,TUC-PHYS-107-7DBBCA,Optimization Theory,8,TU Chemnitz,2023-05-26,2023-09-26,Prof. Dr. Sofia Klein,sofia.klein@tu-chemnitz.de,Room 4.21,"An advanced module covering theory and practice in optimization theory, with emphasis on real-world applications.",33
92,TUC-STAT-100-F68A68,Embedded Systems,4,TU Chemnitz,2023-12-09,2024-04-09,Dr. Julia Neumann,julia.neumann@tu-chemnitz.de,Room 3.08,Foundational survey of embedded systems. Prerequisites include basic math and programming proficiency.,123
93,TUC-ENG-102-207114,Numerical Methods,9,TU Chemnitz,2024-01-24,2024-05-24,Prof. Dr. Matteo Zimmermann,matteo.zimmermann@tu-chemnitz.de,Aula Magna,"Numerical Methods is an undergraduate course exploring foundational topics, modern techniques and case studies.",192
94,TUC-ENV-111-D1C353,Antenna Theory Advanced 111,9,TU Chemnitz,2023-02-14,2023-08-14,N/A,david.ruiz@tu-chemnitz.de,Seminar Room 205,"Graduate-level seminar on antenna theory advanced 111. Students will read papers, complete assignments and present a project.",22
95,TUC-ECE-101-33D089,Criminal Law,4,TU Chemnitz,2025-01-20,2025-04-20,Dr. Wei Werner,wei.werner@tu-chemnitz.de,Reichenhainer Str. 70,"Criminal Law is an undergraduate course exploring foundational topics, modern techniques and case studies.",76
96,TUC-STAT-109-D3BA96,Cryptography Basics Seminar 109,10,TU Chemnitz,2025-11-14,2026-05-14,lukas.schmitt@tu-chemnitz.de,,Online (BBB),"Graduate-level seminar on cryptography basics seminar 109. Students will read papers, complete assignments and present a project.",195
97,TUC-STAT-107-5AEDA3,Environmental Policy Workshop 107,8,TU Chemnitz,2025-04-25,2025-10-25,Prof. Dr. Bernd Fischer,bernd.fischer@tu-chemnitz.de,Engineering Building 2.10,Foundational survey of environmental policy workshop 107. Prerequisites include basic math and programming proficiency.,138
98,TUC-INFO-102-E05BF1,Theory of Computation,12,TU Chemnitz,2024-11-12,2025-02-12,Prof. Dr. Carlos Giordano,carlos.giordano@tu-chemnitz.de,Chemistry Lab B,"Graduate-level seminar on theory of computation. Students will read papers, complete assignments and present a project.",125
99,TUC-GEO-109-C13382,Machine Learning Seminar 109,10,TU Chemnitz,2025-01-19,2025-05-19,Dr. Felix Rodríguez,,Aula 1B,"This course introduces students to the core concepts of machine learning seminar 109 through lectures, exercises and a final project.",
100,TUC-MED-101-5F72C6,Linear Algebra,5,TU Chemnitz,2023-02-23,2023-06-23,Dr. Diego Weber,diego.weber@tu-chemnitz.de,Room 3.08,Foundational survey of linear algebra. Prerequisites include basic math and programming proficiency.,47
101,TUC-ENG-109-7735AE,Probability Theory Lab 109,10,TU Chemnitz,2023-03-19,2023-09-19,Prof. Dr. Olivia Martínez,olivia.martinez@tu-chemnitz.de,,"Graduate-level seminar on probability theory lab 109. Students will read papers, complete assignments and present a project.",105
102,TUC-GEO-105-FF65E5,Introduction to Algorithms Advanced 105,9,TU Chemnitz,2024-08-24,2024-08-24,Prof. Dr. Emma Pérez,emma.perez@tu-chemnitz.de,Lecture Hall C,"Graduate-level seminar on introduction to algorithms advanced 105. Students will read papers, complete assignments and present a project.",111
103,TUC-ME-101-A09FD2,Information Theory,8,TU Chemnitz,2025-11-05,2026-04-05,Prof. Dr. Andreas Martínez,andreas.martinez@tu-chemnitz.de,Computer Lab 7,"This course introduces students to the core concepts of information theory through lectures, exercises and a final project.",111
104,TUC-ENV-108-C7CDCF,Operating Systems Advanced 108,9,TU Chemnitz,2023-08-02,2024-01-02,Dr. Matteo Hartmann,matteo.hartmann@tu-chemnitz.de,Edificio Polivalente P-II,"Graduate-level seminar on operating systems advanced 108. Students will read papers, complete assignments and present a project.",129
105,TUC-LAW-114-448F47,Introduction to Algorithms Advanced 114,6,TU Chemnitz,2025-04-24,2025-09-24,Dr. Anna Mancini,,Room 1.42,Foundational survey of introduction to algorithms advanced 114. Prerequisites include basic math and programming proficiency.,188
106,TUC-LAW-104-7AA387,Political Theory,3,TU Chemnitz,2024-04-23,2024-08-23,Prof. Dr. Helga López,helga.lopez@tu-chemnitz.de,Polo Scientifico A,"Graduate-level seminar on political theory. Students will read papers, complete assignments and present a project.",205
